destination_name,country,continent,category,cost,best_season,rating
Grand Falls,Vietnam,Asia,Adventure,114.9,Winter,4.4
Golden Valley,Thailand,Asia,Adventure,213.69,Autumn,4.4
Ancient Temple,Italy,Europe,Adventure,150.26,Spring,4.4
Mystic Canyon,Canada,North America,City,130.22,Autumn,4.4
Sacred Valley,India,Asia,City,141.94,Summer,4.6
Serene Ruins,Italy,Europe,Religious,102.85,Summer,4.9
Grand Beach,Thailand,Asia,Adventure,54.06,Autumn,4.5
Crystal Pagoda,USA,North America,Adventure,155.12,Summer,4.4
Crystal Temple,Argentina,South America,Adventure,140.38,Autumn,4.6
Golden Beach,Italy,Europe,Nature,166.99,Summer,4.5
Sacred Valley,South Africa,Africa,Adventure,207.14,Winter,4.7
Serene Plaza,USA,North America,Beach,109.91,Summer,4.9
Golden Park,Greece,Europe,Nature,179.34,Winter,5
Serene Falls,Spain,Europe,Adventure,125.33,Spring,4.8
Crystal Pagoda,Mexico,North America,Historical,154.98,Autumn,4.3
Ancient Valley,Peru,South America,Beach,150.46,Summer,4.4
Hidden Valley,New Zealand,Oceania,City,96.88,Spring,4.6
Sacred Canyon,Mexico,North America,Historical,181.03,Spring,4.5
Sacred Canyon,Egypt,Africa,Religious,110.84,Summer,4.4
Ancient Forest,Kenya,Africa,Beach,132.16,Winter,4.7
Hidden Temple,Germany,Europe,Historical,161.37,Spring,4.9
Crystal Beach,Kenya,Africa,Religious,133.78,Spring,4.4
Golden Beach,Spain,Europe,Religious,162.99,Autumn,4.7
Lush Forest,Peru,South America,City,214.97,Spring,4.2
Mystic Forest,Thailand,Asia,Nature,162.52,Summer,4.6
Golden Canyon,Italy,Europe,Historical,161.31,Winter,4.8
Serene Valley,Japan,Asia,Beach,164.65,Spring,4.3
Mystic Temple,Japan,Asia,Nature,158.74,Autumn,4.1
Hidden Plaza,USA,North America,City,90.43,Autumn,4.7
Ancient Plaza,Kenya,Africa,Religious,112.44,Winter,4.2
Lush Falls,Italy,Europe,Adventure,198.17,Winter,4.6
Serene Plaza,Argentina,South America,City,106.62,Winter,4.5
Crystal Falls,Peru,South America,Historical,105.52,Summer,4.3
Sacred Falls,Morocco,Africa,Nature,193.93,Autumn,4.4
Crystal Beach,France,Europe,Beach,150.65,Spring,4.9
Hidden Plaza,Greece,Europe,Nature,79.68,Autumn,4.5
Serene Canyon,Egypt,Africa,Nature,96.46,Summer,4.6
Sacred Temple,Italy,Europe,Religious,143.79,Autumn,4.7
Hidden Park,Japan,Asia,Adventure,107.66,Summer,4
Crystal Forest,Peru,South America,Religious,103.7,Summer,4.3
Crystal Forest,Argentina,South America,Religious,158.66,Autumn,4.6
Grand Ruins,Germany,Europe,City,161.55,Autumn,4.3
Golden Canyon,Egypt,Africa,Nature,152.91,Spring,4.2
Hidden Pagoda,Argentina,South America,City,193.62,Autumn,4.8
Mystic Valley,India,Asia,Adventure,81.12,Winter,4.2
Serene Canyon,Argentina,South America,Nature,165.22,Spring,4.6
Serene Pagoda,Mexico,North America,City,175.75,Winter,5
Serene Plaza,Egypt,Africa,Beach,216.54,Autumn,4.8
Golden Valley,Vietnam,Asia,Adventure,134.24,Winter,4.7
Sacred Pagoda,Thailand,Asia,City,158.25,Winter,4.2
Ancient Pagoda,Italy,Europe,Nature,265.73,Winter,3.9
Lush Park,Germany,Europe,Adventure,129.27,Spring,4.5
Lush Pagoda,Australia,Oceania,Adventure,126.4,Autumn,4.8
Sacred Pagoda,Brazil,South America,City,228.02,Spring,4.5
Crystal Temple,Morocco,Africa,City,113.48,Spring,4.6
Ancient Ruins,Brazil,South America,Historical,269.45,Spring,5
Serene Valley,Germany,Europe,City,48.74,Autumn,4.6
Grand Beach,Thailand,Asia,Adventure,127.78,Spring,4
Golden Park,Canada,North America,Adventure,175.25,Autumn,4.8
Crystal Plaza,China,Asia,Adventure,133.29,Summer,4.4
Crystal Plaza,Thailand,Asia,Nature,238.27,Winter,4.6
Grand Ruins,Vietnam,Asia,Beach,168.86,Autumn,5
Golden Valley,India,Asia,City,74.03,Summer,4.4
Mystic Beach,Morocco,Africa,Adventure,138.13,Winter,5
Hidden Falls,Brazil,South America,Adventure,30,Spring,4.2
Ancient Pagoda,China,Asia,Historical,50.25,Autumn,4.1
Hidden Temple,France,Europe,Religious,128,Summer,4.5
Serene Temple,Morocco,Africa,Beach,152.93,Summer,5
Lush Valley,France,Europe,Nature,100.92,Winter,4.6
Hidden Ruins,South Africa,Africa,City,139.88,Autumn,4.5
Mystic Canyon,Egypt,Africa,Nature,155.68,Summer,4.7
Grand Plaza,Greece,Europe,Nature,119.24,Summer,5
Crystal Park,Canada,North America,Beach,142.41,Winter,4.7
Grand Falls,Greece,Europe,Nature,125.68,Summer,4.6
Grand Pagoda,Spain,Europe,Nature,120.53,Spring,4.8
Lush Ruins,Greece,Europe,Adventure,197.6,Spring,4.9
Sacred Pagoda,Thailand,Asia,City,190.64,Spring,4.7
Serene Valley,India,Asia,Adventure,177.59,Spring,4.3
Grand Falls,Brazil,South America,Adventure,148.95,Winter,4.5
Serene Falls,France,Europe,Adventure,116.54,Spring,4.8
Crystal Forest,Brazil,South America,Historical,139.12,Spring,4.8
Grand Pagoda,France,Europe,Nature,129.6,Winter,4.6
Lush Pagoda,New Zealand,Oceania,City,215.27,Autumn,4.5
Serene Canyon,France,Europe,Beach,138.04,Spring,4.8
Sacred Falls,Kenya,Africa,Nature,166.21,Spring,4.5
Lush Canyon,Thailand,Asia,Religious,245.62,Spring,4.8
Serene Falls,Argentina,South America,Historical,99.7,Winter,4.1
Lush Canyon,Greece,Europe,Religious,188.53,Winter,4.7
Serene Canyon,South Africa,Africa,Nature,149.39,Spring,4.2
Sacred Ruins,Mexico,North America,Historical,45.5,Winter,5
Mystic Pagoda,Brazil,South America,Beach,108.73,Summer,4.4
Lush Falls,Greece,Europe,Beach,180.69,Spring,4.9
Lush Valley,USA,North America,Beach,162.25,Spring,4.3
Golden Ruins,Spain,Europe,Adventure,177.96,Autumn,4.8
Serene Valley,Germany,Europe,Nature,77.6,Spring,4.1
Grand Pagoda,New Zealand,Oceania,Adventure,116.79,Winter,4.9
Golden Park,India,Asia,Historical,165.55,Autumn,4.9
Ancient Ruins,Greece,Europe,City,134.88,Winter,4.5
Grand Pagoda,Mexico,North America,City,166.14,Summer,4.3
Crystal Canyon,Egypt,Africa,Adventure,174.63,Spring,4.5
Serene Plaza,India,Asia,Beach,184.51,Winter,4.4
Crystal Ruins,Greece,Europe,Nature,153.48,Winter,4.8
Crystal Pagoda,Spain,Europe,Beach,154.88,Winter,4.3
Crystal Forest,Greece,Europe,Adventure,263.79,Spring,4.6
Golden Plaza,New Zealand,Oceania,Adventure,257.66,Autumn,4.3
Serene Park,Peru,South America,Nature,144.45,Spring,4.8
Mystic Pagoda,South Africa,Africa,Beach,108.01,Spring,4.3
Mystic Park,Australia,Oceania,Religious,201.63,Autumn,4
Lush Falls,Thailand,Asia,Religious,167.09,Autumn,5
Mystic Falls,Thailand,Asia,Historical,178.57,Spring,4.8
Grand Forest,Thailand,Asia,Religious,83.99,Autumn,5
Hidden Valley,Italy,Europe,Adventure,146.32,Summer,4.4
Sacred Pagoda,China,Asia,Nature,64.34,Summer,4.9
Lush Pagoda,Thailand,Asia,Beach,163.78,Winter,4.6
Crystal Pagoda,Italy,Europe,City,70.28,Spring,4.3
Serene Ruins,Vietnam,Asia,Beach,162.97,Summer,4.6
Ancient Temple,Argentina,South America,Nature,150.26,Summer,4.5
Mystic Pagoda,Greece,Europe,Adventure,134.35,Summer,4
Lush Pagoda,Argentina,South America,Nature,156.01,Spring,4.7
Sacred Ruins,Mexico,North America,Adventure,203.02,Winter,5
Sacred Canyon,Spain,Europe,Historical,166.62,Autumn,4.3
Lush Ruins,France,Europe,Historical,155.74,Spring,5
Sacred Forest,India,Asia,Nature,253.04,Autumn,5
Serene Park,China,Asia,Adventure,98.98,Spring,4.4
Lush Plaza,China,Asia,City,182.27,Autumn,4.9
Golden Ruins,China,Asia,Religious,128.32,Winter,4.4
Lush Valley,Australia,Oceania,Nature,202.92,Spring,4
Grand Ruins,Australia,Oceania,Adventure,194.3,Summer,4.5
Grand Valley,Spain,Europe,Adventure,225.12,Spring,4.5
Lush Forest,Peru,South America,Religious,199.08,Autumn,4.6
Crystal Temple,Italy,Europe,Nature,64.83,Summer,4.5
Ancient Pagoda,Spain,Europe,Adventure,149.69,Summer,4.6
Golden Falls,USA,North America,Religious,84.78,Spring,4.7
Mystic Temple,Italy,Europe,Historical,94.94,Spring,4.6
Ancient Park,Australia,Oceania,Adventure,146.87,Winter,4.8
Mystic Temple,China,Asia,Nature,127.67,Winter,4.4
Golden Pagoda,India,Asia,Religious,123.49,Spring,4.3
Hidden Park,Argentina,South America,Religious,78.3,Winter,4.4
Lush Canyon,Argentina,South America,Religious,248.24,Autumn,4.5
Grand Park,Canada,North America,Adventure,175.73,Autumn,4.9
Crystal Beach,Japan,Asia,Nature,144.38,Spring,4.4
Golden Park,Kenya,Africa,Adventure,113.18,Spring,4.7
Hidden Temple,Vietnam,Asia,Historical,136.25,Winter,3.8
Mystic Valley,Morocco,Africa,City,118.67,Spring,3.8
Lush Beach,Morocco,Africa,Religious,178.83,Summer,4.6
Crystal Falls,South Africa,Africa,Historical,101.39,Winter,4.5
Sacred Falls,Thailand,Asia,City,69.68,Winter,4.6
Crystal Pagoda,Australia,Oceania,Nature,140.65,Spring,4.5
Lush Valley,Argentina,South America,Religious,117.67,Spring,4.2
Sacred Falls,Germany,Europe,City,160.91,Autumn,4.8
Ancient Pagoda,Spain,Europe,Adventure,149.6,Summer,4.9
Hidden Valley,Japan,Asia,Religious,268.72,Spring,4.8
Sacred Falls,Kenya,Africa,City,98.14,Autumn,4.4
Lush Canyon,Egypt,Africa,City,219.79,Summer,4.1
Golden Canyon,Morocco,Africa,Adventure,80.07,Summer,4.7
Sacred Ruins,Vietnam,Asia,Beach,127.09,Summer,4.3
Sacred Plaza,China,Asia,Adventure,120.38,Spring,4.2
Ancient Pagoda,South Africa,Africa,Religious,30,Winter,4.7
Hidden Temple,Egypt,Africa,Adventure,138.05,Spring,4.2
Ancient Falls,India,Asia,Adventure,161.87,Winter,4.6
Crystal Temple,New Zealand,Oceania,Religious,175.05,Spring,4.2
Golden Beach,Greece,Europe,Adventure,252.17,Summer,5
Serene Valley,Peru,South America,City,116.87,Winter,4.7
Serene Falls,New Zealand,Oceania,City,163.99,Winter,3.7
Mystic Ruins,Germany,Europe,Nature,162.99,Summer,4.2
Golden Ruins,New Zealand,Oceania,Historical,93.04,Winter,4.6
Golden Ruins,France,Europe,Historical,117.41,Winter,4.5
Sacred Valley,Brazil,South America,Beach,119.9,Winter,4.7
Sacred Park,Spain,Europe,Adventure,176.49,Autumn,4.9
Golden Forest,Greece,Europe,Adventure,61.49,Winter,4.2
Lush Plaza,Argentina,South America,Adventure,168.56,Summer,4.3
Lush Valley,Thailand,Asia,Religious,174.4,Summer,5
Crystal Park,Spain,Europe,Historical,166.88,Winter,4.4
Sacred Canyon,Morocco,Africa,Nature,134.08,Spring,4.4
Ancient Forest,India,Asia,Nature,164.49,Autumn,5
Grand Falls,Canada,North America,Adventure,136.49,Autumn,4.8
Hidden Plaza,India,Asia,Adventure,48.09,Autumn,4.2
Mystic Pagoda,Peru,South America,Religious,202.58,Spring,4.2
Ancient Falls,Spain,Europe,Beach,166.35,Summer,4.4
Sacred Forest,Germany,Europe,Nature,194.62,Summer,4.5
Grand Beach,Peru,South America,Religious,76.07,Summer,4.8
Sacred Temple,Argentina,South America,Nature,175.47,Spring,4.9
Ancient Falls,Germany,Europe,Religious,159.09,Autumn,4.6
Serene Plaza,New Zealand,Oceania,Historical,95.43,Summer,4.3
Crystal Beach,New Zealand,Oceania,Nature,153.58,Summer,4.4
Hidden Beach,USA,North America,Historical,132.62,Spring,4.7
Golden Valley,USA,North America,City,136.51,Autumn,4.2
Hidden Ruins,Australia,Oceania,City,128.63,Autumn,4.3
Ancient Beach,Japan,Asia,Historical,193.48,Spring,4.9
Crystal Pagoda,Germany,Europe,City,68.39,Summer,4.6
Grand Canyon,Kenya,Africa,Adventure,61.06,Autumn,4.9
Ancient Canyon,Canada,North America,Nature,159.03,Summer,5
Crystal Beach,Kenya,Africa,Religious,155.47,Autumn,4.7
Crystal Temple,Mexico,North America,Adventure,160.84,Summer,4.6
Golden Pagoda,Germany,Europe,Historical,244.1,Spring,4.9
Serene Forest,Thailand,Asia,City,159.19,Winter,4.5
Golden Plaza,New Zealand,Oceania,Religious,100.52,Spring,4.5
Grand Park,France,Europe,Adventure,276.93,Summer,4.7
Grand Beach,China,Asia,Religious,142.1,Autumn,4.4
Hidden Valley,Peru,South America,City,192.61,Autumn,3.8
Grand Forest,Thailand,Asia,Beach,85.5,Winter,4.1
Serene Falls,Spain,Europe,Adventure,74.86,Spring,4.4
Serene Falls,USA,North America,Beach,137.71,Summer,4.4
Mystic Canyon,Japan,Asia,Religious,190.22,Winter,4.5
Ancient Ruins,Canada,North America,City,242.45,Winter,4.8
Lush Park,Morocco,Africa,Adventure,99.14,Autumn,4.7
Hidden Ruins,Morocco,Africa,Religious,136.56,Spring,4.2
Crystal Canyon,India,Asia,Beach,150.03,Autumn,4.5
Crystal Pagoda,South Africa,Africa,Beach,150.7,Spring,4.5
Crystal Valley,India,Asia,Beach,144.26,Summer,4.5
Sacred Beach,Morocco,Africa,Beach,148.36,Autumn,4.3
Lush Forest,India,Asia,Nature,219.43,Winter,3.7
Hidden Valley,Germany,Europe,Beach,212.3,Autumn,3.9
Lush Pagoda,Australia,Oceania,Religious,164.49,Winter,4.4
Crystal Plaza,Australia,Oceania,Nature,79.62,Winter,4.3
Hidden Valley,Thailand,Asia,Historical,131.91,Summer,4.5
Mystic Falls,Peru,South America,Beach,196.78,Autumn,4.9
Crystal Plaza,Spain,Europe,Nature,114.78,Winter,4.3
Grand Falls,Germany,Europe,Nature,123.77,Summer,4.6
Grand Forest,Germany,Europe,Religious,132.47,Summer,4.4
Serene Falls,Japan,Asia,Beach,185.55,Spring,4.6
Mystic Valley,Vietnam,Asia,City,232.32,Winter,4.2
Mystic Park,Argentina,South America,Beach,179.66,Summer,4.4
Mystic Pagoda,China,Asia,City,66.51,Winter,5
Serene Pagoda,Italy,Europe,Adventure,123.86,Spring,4.8
Serene Canyon,Egypt,Africa,Historical,215.79,Autumn,4
Lush Pagoda,Vietnam,Asia,City,85.98,Spring,5
Serene Park,Argentina,South America,Adventure,62.33,Autumn,4.3
Hidden Forest,Germany,Europe,Historical,122.75,Summer,4.6
Mystic Canyon,Greece,Europe,Religious,198.59,Summer,4.5
Ancient Temple,India,Asia,Nature,131.82,Winter,4.5
Grand Forest,India,Asia,Historical,257.76,Summer,4.7
Hidden Temple,Japan,Asia,City,158.54,Autumn,4.4
Hidden Ruins,France,Europe,Historical,85.58,Summer,4.5
Lush Ruins,Germany,Europe,Beach,159.79,Spring,4.2
Golden Canyon,Vietnam,Asia,Adventure,250.28,Summer,4.7
Crystal Temple,Canada,North America,City,162.8,Autumn,4.8
Lush Valley,Argentina,South America,Beach,99.81,Summer,4.7
Serene Ruins,Greece,Europe,Adventure,57.96,Summer,4.1
Serene Park,Argentina,South America,Adventure,132.6,Summer,4.6
Hidden Valley,Thailand,Asia,City,119.42,Summer,4.1
Lush Beach,Australia,Oceania,Nature,217.07,Summer,4.2
Golden Falls,Morocco,Africa,Adventure,102.53,Spring,5
Ancient Park,Spain,Europe,Historical,154.77,Winter,4.6
Hidden Ruins,Peru,South America,City,121.22,Summer,4.5
Mystic Valley,Kenya,Africa,Adventure,65.52,Autumn,4.8
Serene Beach,India,Asia,Beach,148.25,Spring,5
Sacred Pagoda,Peru,South America,Historical,72.1,Autumn,4.4
Golden Falls,Brazil,South America,Beach,181.62,Winter,4.8
Grand Pagoda,Brazil,South America,Beach,61.86,Spring,4.8
Lush Falls,China,Asia,Historical,146.28,Winter,4.7
Ancient Plaza,Australia,Oceania,Historical,203.23,Summer,4.5
Ancient Falls,Egypt,Africa,City,177.99,Spring,4.8
Grand Ruins,Kenya,Africa,Historical,127.31,Spring,4.7
Hidden Park,India,Asia,Historical,171.48,Autumn,4.6
Grand Falls,Thailand,Asia,Historical,190.92,Summer,4.5
Mystic Park,Australia,Oceania,Religious,95.95,Winter,4.8
Serene Falls,Kenya,Africa,Adventure,206.45,Summer,4.5
Lush Falls,Japan,Asia,Adventure,196.91,Summer,4.3
Sacred Falls,Japan,Asia,Adventure,79.74,Summer,4.7
Ancient Beach,China,Asia,Historical,161.11,Spring,4.4
Ancient Canyon,USA,North America,Adventure,136.95,Autumn,4.5
Crystal Pagoda,Brazil,South America,Religious,222.35,Autumn,4.6
Lush Ruins,Canada,North America,Beach,193.39,Winter,4.6
Ancient Forest,India,Asia,Beach,154.11,Spring,4.8
Mystic Falls,New Zealand,Oceania,Historical,211.16,Spring,4.3
Mystic Temple,Australia,Oceania,City,264.94,Summer,4.4
Hidden Pagoda,Vietnam,Asia,Beach,65.91,Spring,4
Grand Pagoda,New Zealand,Oceania,City,128.99,Summer,4.4
Ancient Ruins,Australia,Oceania,Adventure,99.69,Autumn,4.2
Sacred Falls,Peru,South America,Religious,148.27,Summer,4.6
Mystic Plaza,Germany,Europe,Nature,96.47,Winter,4.7
Crystal Ruins,Australia,Oceania,Beach,199.22,Summer,4.4
Sacred Canyon,USA,North America,Historical,265.49,Winter,4.3
Sacred Canyon,Spain,Europe,Historical,158.32,Winter,4.6
Ancient Forest,Germany,Europe,Religious,71.5,Spring,4.5
Hidden Park,Morocco,Africa,City,118.84,Winter,4.3
Crystal Temple,Italy,Europe,Beach,125.2,Summer,4.4
Sacred Canyon,South Africa,Africa,Adventure,221.03,Summer,4.3
Grand Canyon,Morocco,Africa,Historical,167.18,Autumn,4.4
Grand Pagoda,India,Asia,Beach,160.15,Summer,4
Hidden Falls,India,Asia,City,107.99,Spring,4.5
Sacred Forest,Japan,Asia,Adventure,119.36,Winter,4.4
Crystal Pagoda,Greece,Europe,Historical,177.17,Winter,4.8
Grand Park,Mexico,North America,City,141.15,Summer,4.3
Hidden Temple,Thailand,Asia,City,194.21,Winter,4.2
Crystal Pagoda,USA,North America,Adventure,124.12,Autumn,4.6
Serene Temple,France,Europe,Beach,30,Autumn,4.2
Lush Park,South Africa,Africa,Historical,125.53,Summer,4.8
Golden Valley,Morocco,Africa,Religious,68.03,Autumn,4.6
Grand Falls,Thailand,Asia,City,179.53,Spring,4.8
Serene Falls,Italy,Europe,Adventure,170.28,Summer,4.7
Lush Forest,New Zealand,Oceania,Historical,203.33,Summer,4.9
Ancient Plaza,Brazil,South America,Nature,117.54,Summer,4.6
Serene Park,Japan,Asia,Historical,141.64,Spring,4.5
Mystic Falls,Australia,Oceania,Adventure,115.52,Summer,4.6
Sacred Ruins,Vietnam,Asia,Nature,151.44,Autumn,4.9
Crystal Park,Peru,South America,Nature,190.89,Spring,4.1
Crystal Pagoda,Peru,South America,Nature,82.01,Autumn,4.7
Grand Park,France,Europe,Historical,224.76,Spring,4.6
Crystal Park,Argentina,South America,Religious,162.47,Summer,5
Mystic Forest,South Africa,Africa,City,210.45,Summer,4.1
Serene Beach,Morocco,Africa,Religious,127.68,Autumn,4.6
Lush Falls,South Africa,Africa,Religious,131.85,Summer,4.6
Grand Forest,Thailand,Asia,City,209.75,Autumn,4
Sacred Temple,Egypt,Africa,Adventure,168.36,Summer,4.3
Hidden Ruins,New Zealand,Oceania,Historical,228.28,Autumn,4.5
Crystal Park,India,Asia,Nature,64.95,Spring,4.4
Crystal Temple,Vietnam,Asia,City,77.6,Winter,3.8
Lush Falls,Argentina,South America,Historical,182.43,Winter,4.8
Sacred Plaza,Vietnam,Asia,Historical,162.19,Spring,4.3
Crystal Valley,China,Asia,Historical,138.88,Winter,4.2
Serene Temple,Japan,Asia,Adventure,242.33,Spring,4.2
Serene Temple,New Zealand,Oceania,Historical,194.89,Spring,4.4
Golden Valley,Italy,Europe,Religious,87.42,Winter,4.9
Mystic Beach,Thailand,Asia,Historical,175.28,Autumn,4.5
Lush Pagoda,New Zealand,Oceania,City,167.14,Autumn,4.6
Golden Valley,Morocco,Africa,City,173,Spring,4.7
Golden Ruins,Morocco,Africa,Nature,159.83,Winter,4.7
Grand Pagoda,Thailand,Asia,City,98.46,Summer,4.5
Golden Canyon,USA,North America,Religious,116.18,Spring,5
Hidden Canyon,South Africa,Africa,Nature,112.96,Summer,4.5
Mystic Forest,India,Asia,Religious,192.03,Autumn,4.3
Hidden Ruins,India,Asia,Historical,136.16,Winter,4.5
Golden Falls,India,Asia,Religious,127.38,Spring,3.8
Grand Plaza,Argentina,South America,Nature,201.18,Winter,4.2
Ancient Ruins,Australia,Oceania,Historical,101.65,Summer,4.5
Golden Canyon,Germany,Europe,Adventure,270.1,Spring,4.5
Hidden Canyon,China,Asia,City,138.95,Autumn,4.5
Hidden Temple,South Africa,Africa,Religious,106.18,Summer,4.5
Mystic Plaza,Italy,Europe,Religious,99.92,Summer,4.4
Crystal Falls,Kenya,Africa,Nature,199.44,Spring,4.7
Lush Ruins,Egypt,Africa,City,219.97,Winter,4.8
Sacred Pagoda,India,Asia,Religious,240.6,Spring,4.6
Ancient Forest,New Zealand,Oceania,Religious,194.76,Winter,4.7
Ancient Beach,India,Asia,Nature,155.73,Spring,4.8
Mystic Ruins,New Zealand,Oceania,Nature,253.76,Winter,4.3
Serene Park,Peru,South America,Nature,131.52,Autumn,4.6
Lush Ruins,Vietnam,Asia,Beach,117.43,Autumn,4.4
Sacred Pagoda,Australia,Oceania,Adventure,98.42,Autumn,4.3
Golden Temple,Kenya,Africa,Historical,148.78,Summer,5
Ancient Forest,South Africa,Africa,Beach,103.34,Summer,4.7
Grand Ruins,Italy,Europe,Beach,151.9,Autumn,4.5
Grand Pagoda,Germany,Europe,Religious,124.89,Autumn,4.6
Sacred Ruins,China,Asia,Adventure,137.13,Summer,4
Sacred Plaza,Morocco,Africa,Historical,196.64,Summer,4.8
Golden Canyon,Australia,Oceania,City,88.71,Winter,4.1
Serene Temple,India,Asia,Religious,71.91,Autumn,5
Ancient Beach,India,Asia,Historical,203.93,Winter,4.5
Ancient Valley,Kenya,Africa,Adventure,68.35,Summer,4.3
Golden Temple,Egypt,Africa,Beach,223.83,Autumn,4.9
Serene Beach,Italy,Europe,Adventure,170.08,Autumn,4.3
Hidden Park,Germany,Europe,Nature,122.48,Spring,4.3
Mystic Forest,Egypt,Africa,Religious,166.19,Spring,4.4
Sacred Park,Mexico,North America,Adventure,177.18,Spring,4.4
Golden Falls,USA,North America,Religious,38.28,Autumn,4.6
Hidden Plaza,Morocco,Africa,Religious,131.88,Autumn,4.2
Sacred Pagoda,Thailand,Asia,City,190.36,Spring,4.1
Mystic Pagoda,Mexico,North America,City,126.61,Spring,4.6
Sacred Forest,Italy,Europe,Nature,72.21,Autumn,4.4
Hidden Valley,Germany,Europe,Adventure,153.84,Winter,4.1
Serene Beach,India,Asia,Historical,137.04,Summer,4.9
Serene Park,Brazil,South America,Adventure,225.04,Summer,4.8
Hidden Canyon,Kenya,Africa,Nature,192.35,Winter,4.9
Ancient Pagoda,France,Europe,City,169.1,Winter,4.6
Serene Forest,Mexico,North America,Religious,134.83,Winter,4.6
Hidden Canyon,Peru,South America,Historical,146.42,Autumn,4.5
Lush Falls,Brazil,South America,Historical,143.45,Autumn,4.2
Serene Ruins,Canada,North America,Historical,153.93,Spring,3.9
Serene Falls,France,Europe,Historical,156.97,Autumn,4.6
Hidden Canyon,Mexico,North America,Adventure,199.9,Winter,3.6
Hidden Ruins,Vietnam,Asia,Religious,106.44,Autumn,4.6
Sacred Beach,Germany,Europe,Religious,205.41,Autumn,4.2
Golden Beach,Australia,Oceania,Beach,163.83,Summer,4.3
Mystic Beach,Thailand,Asia,City,140.47,Winter,4.6
Lush Pagoda,Canada,North America,Nature,148.46,Autumn,5
Sacred Canyon,France,Europe,Beach,160.05,Autumn,4.8
Grand Ruins,New Zealand,Oceania,Historical,159.88,Summer,4.6
Sacred Canyon,Greece,Europe,Beach,181.94,Winter,4.2
Grand Pagoda,Japan,Asia,Historical,111.42,Autumn,4.6
Ancient Beach,South Africa,Africa,City,146.79,Winter,4.6
Lush Beach,Spain,Europe,Adventure,167.03,Autumn,4.9
Grand Falls,Morocco,Africa,Beach,137.79,Winter,4.8
Lush Canyon,South Africa,Africa,Beach,202.35,Summer,4.7
Golden Ruins,Italy,Europe,Beach,135.12,Spring,4.9
Grand Valley,Peru,South America,Beach,156.02,Winter,4.2
Grand Forest,Argentina,South America,City,95.19,Winter,4.1
Ancient Forest,Peru,South America,Adventure,105.74,Winter,5
Ancient Falls,Japan,Asia,Beach,118.05,Summer,4.1
Hidden Beach,Egypt,Africa,Nature,158.48,Autumn,4.3
Hidden Forest,Morocco,Africa,Historical,115.59,Autumn,5
Grand Valley,China,Asia,Adventure,152.96,Winter,4.8
Ancient Canyon,Egypt,Africa,Historical,80.52,Winter,4
Hidden Falls,Germany,Europe,Adventure,266.43,Winter,4.7
Lush Falls,Greece,Europe,Beach,179.74,Summer,4.8
Grand Pagoda,Brazil,South America,Beach,137.37,Winter,4.6
Ancient Falls,New Zealand,Oceania,Nature,112.3,Autumn,4.4
Golden Canyon,New Zealand,Oceania,Beach,106.47,Spring,4.2
Sacred Temple,Thailand,Asia,Adventure,158.99,Summer,4.9
Mystic Ruins,South Africa,Africa,Nature,225.73,Winter,4.7
Ancient Ruins,Brazil,South America,Historical,100.88,Spring,4.4
Ancient Falls,Thailand,Asia,Historical,101.54,Autumn,4.7
